"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691
12,"DZA","Algeria",14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089
32,"ARG","Argentina",6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226
51,"ARM","Armenia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
40,"AUT","Austria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
31,"AZE","Azerbaijan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
44,"BHS","Bahamas",10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121,10.435477272121
48,"BHR","Bahrain",1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14
50,"BGD","Bangladesh",12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601,12.1015004469601
52,"BRB","Barbados",32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282,32.9479797666282
112,"BLR","Belarus",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
56,"BEL","Belgium",16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822,16.5052599454822
84,"BLZ","Belize",19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312,19.8451443777312
204,"BEN","Benin",11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645,11.6745923682645
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
